trip_id,start_time,end_time,headway_secs,exact_times
BEST_97998_1,06:20:00,23:27:00,420,0
BEST_97999_1,06:25:00,22:30:00,660,0
BEST_98000_1,00:05:00,23:50:00,180,0
BEST_98001_1,06:20:00,23:00:00,1260,0
BEST_98003_1,00:06:00,23:45:00,900,0
BEST_98004_1,05:40:00,22:10:00,1020,0
BEST_98005_1,05:50:00,20:15:00,1680,0
BEST_98007_1,07:55:00,18:25:00,1440,0
BEST_98008_1,05:05:00,22:15:00,600,0
BEST_98009_1,05:40:00,22:40:00,840,0
BEST_98010_1,00:05:00,23:58:00,420,0
BEST_98011_1,06:55:00,21:00:00,1500,0
BEST_98012_1,05:15:00,23:15:00,420,0
BEST_98013_1,00:00:00,12:24:00,1200,0
BEST_98014_1,06:00:00,21:45:00,900,0
BEST_98015_1,00:00:00,23:50:00,240,0
BEST_98016_1,00:15:00,23:55:00,240,0
BEST_98017_1,06:20:00,21:43:00,420,0
BEST_98018_1,00:00:00,23:40:00,900,0
BEST_98019_1,07:35:00,22:30:00,900,0
BEST_98020_1,06:15:00,22:00:00,600,0
BEST_98021_1,06:00:00,21:00:00,1320,0
BEST_98022_1,00:00:00,23:55:00,300,0
BEST_98023_1,06:25:00,21:25:00,840,0
BEST_98024_1,00:22:00,23:59:00,1320,0
BEST_98025_1,06:15:00,23:30:00,1440,0
BEST_98026_1,00:20:00,23:40:00,60,0
BEST_98027_1,00:00:00,23:53:00,300,0
BEST_98028_1,00:00:00,23:30:00,120,0
BEST_98029_1,00:00:00,23:45:00,300,0
BEST_98030_1,06:35:00,22:20:00,780,0
BEST_98031_1,06:00:00,22:35:00,840,0
BEST_98032_1,05:15:00,19:25:00,1200,0
BEST_98033_1,00:00:00,23:38:00,780,0
BEST_98034_1,05:03:00,16:01:00,2040,0
BEST_98035_1,05:15:00,21:41:00,1140,0
BEST_98036_1,05:35:00,22:20:00,1080,0
BEST_98037_1,06:50:00,21:55:00,1200,0
BEST_98038_1,06:30:00,20:52:00,1320,0
BEST_98039_1,05:50:00,23:05:00,780,0
BEST_98040_1,06:00:00,22:15:00,1200,0
BEST_98041_1,06:30:00,22:35:00,1500,0
BEST_98042_1,00:00:00,23:50:00,600,0
BEST_98043_1,05:35:00,23:30:00,300,0
BEST_98044_1,05:00:00,23:55:00,600,0
BEST_98045_1,06:15:00,20:23:00,1260,0
BEST_98046_1,06:43:00,16:12:00,1800,0
BEST_98047_1,00:01:00,23:55:00,300,0
BEST_98049_1,06:30:00,23:00:00,60,0
BEST_98050_1,00:00:00,24:00:00,60,0
BEST_98051_1,00:00:00,23:50:00,600,0
BEST_98052_1,05:00:00,23:55:00,300,0
BEST_98053_1,00:00:00,23:55:00,300,0
BEST_98054_1,18:41:00,22:20:00,300,0
BEST_98055_1,01:00:00,23:59:00,1500,0
BEST_98056_1,00:20:00,09:40:00,900,0
BEST_98057_1,00:30:00,23:55:00,600,0
BEST_98058_1,04:15:00,23:10:00,660,0
BEST_98060_1,05:20:00,20:25:00,1800,0
BEST_98061_1,06:10:00,23:40:00,780,0
BEST_98062_1,00:01:00,23:57:00,660,0
BEST_98063_1,05:00:00,21:20:00,1200,0
BEST_98064_1,06:25:00,22:30:00,1260,0
BEST_98065_1,10:25:00,22:35:00,420,0
BEST_98066_1,07:00:00,21:00:00,1680,0
BEST_98067_1,06:37:00,22:45:00,720,0
BEST_98068_1,00:05:00,23:54:00,300,0
BEST_98069_1,00:16:00,23:32:00,780,0
BEST_98070_1,04:26:00,16:04:00,300,0
BEST_98071_1,04:53:00,06:44:00,1560,0
BEST_98072_1,00:05:00,23:49:00,480,0
BEST_98073_1,06:30:00,22:55:00,1440,0
BEST_98074_1,07:00:00,19:01:00,1200,0
BEST_98075_1,06:53:00,07:33:00,1200,0
BEST_98076_1,06:05:00,21:40:00,840,0
BEST_98077_1,06:54:00,23:16:00,480,0
BEST_98078_1,00:32:00,23:49:00,2040,0
BEST_98079_1,20:40:00,21:49:00,1260,0
BEST_98080_1,07:50:00,23:45:00,2220,0
BEST_98081_1,01:09:00,16:49:00,480,0
BEST_98082_1,07:05:00,23:30:00,1980,0
BEST_98083_1,05:25:00,23:00:00,720,0
BEST_98084_1,06:00:00,21:39:00,1140,0
BEST_98085_1,05:45:00,22:45:00,480,0
BEST_98086_1,09:40:00,23:35:00,480,0
BEST_98087_1,04:45:00,20:45:00,960,0
BEST_98088_1,07:00:00,21:30:00,1800,0
BEST_98089_1,05:10:00,22:10:00,720,0
BEST_98090_1,06:20:00,23:45:00,120,0
BEST_98091_1,06:20:00,23:45:00,120,0
BEST_98092_1,07:30:00,18:40:00,600,0
BEST_98093_1,18:09:00,19:55:00,240,0
BEST_98094_1,06:10:00,23:55:00,1080,0
