route_id,service_id,trip_id,trip_headsign,direction_id
L1,DAILY,L1_0,Versova → Ghatkopar,0
L1,DAILY,L1_1,Ghatkopar → Versova,1

L2A,DAILY,L2A_0,Andheri West → Dahisar East,0
L2A,DAILY,L2A_1,Dahisar East → Andheri West,1

L3,DAILY,L3_0,Aarey → Cuffe Parade,0
L3,DAILY,L3_1,Cuffe Parade → Aarey,1

L7,DAILY,L7_0,Gundavali → Dahisar East,0
L7,DAILY,L7_1,Dahisar East → Gundavali,1
